BMP280,,,,,,,
"Year,Month,Day,Hour,Minute,Second",,,,,,,
Start,"2018,2,15,14,28,34",,,,,,
End,"2018,2,15,14,29,5,",,"(Note: Total 10,000 samples, first 681 records removed, due to presence of NANs)",,,,
Samples,9319,,Average,100801.6917,,StDev,5.84782364
No doubles,5506,,Average,100801.124,,StDev,5.85046483
,,,,,,StDev Mean,0.07884465722
,,,,,,,
,,,,,,,
T (°C),P (Pa),,T (°C),P (Pa),,,
22.52,100792.84,,22.6,100806.71,100806.71,,
22.55,100802.64,,22.61,100800.95,100800.95,,
22.55,100802.64,,22.53,100794.33,100794.33,,
22.59,100805.95,,22.55,100805.31,100805.31,,
22.59,100805.95,,22.6,100804.8,100804.8,,
22.54,100792.41,,22.54,100789.75,100789.75,,
22.54,100792.41,,22.53,100796.23,100796.23,,
22.53,100799.67,,22.59,100795.27,100795.27,,
22.58,100804.47,,22.53,100788.98,100788.98,,
22.58,100804.47,,22.57,100794.97,100794.97,,
22.58,100809.8,,22.6,100794.12,100794.12,,
22.58,100809.8,,22.53,100791.66,100791.66,,
22.53,100797,,22.55,100789.3,100789.3,,
22.57,100804.89,,22.6,100798.7,100798.7,,
22.57,100804.89,,22.54,100797.76,100797.76,,
22.59,100800.61,,22.54,100789.75,100789.75,,
22.59,100800.61,,22.59,100797.19,100797.19,,
22.53,100791.66,,22.6,100793.36,100793.36,,
22.55,100804.55,,22.61,100806.29,100806.29,,
22.55,100804.55,,22.53,100788.98,100788.98,,
22.59,100797.19,,22.55,100791.2,100791.2,,
22.59,100797.19,,22.6,100806.71,100806.71,,
22.53,100799.67,,22.54,100792.41,100792.41,,
22.53,100799.67,,22.53,100788.98,100788.98,,
22.53,100802.34,,22.59,100799.85,100799.85,,
22.58,100803.7,,22.53,100797,100797,,
22.6,100801.37,,22.58,100798.37,100798.37,,
22.6,100801.37,,22.6,100806.71,100806.71,,
22.6,100802.13,,22.53,100790.9,100790.9,,
22.6,100802.13,,22.55,100799.21,100799.21,,
22.53,100790.9,,22.6,100799.45,100799.45,,
22.53,100790.9,,22.54,100792.41,100792.41,,
22.55,100793.88,,22.54,100798.48,100798.48,,
22.59,100807.86,,22.58,100804.47,100804.47,,
22.59,100807.86,,22.61,100802.86,100802.86,,
22.52,100790.17,,22.6,100807.47,100807.47,,
22.52,100790.17,,22.54,100798.48,100798.48,,
22.53,100802.34,,22.57,100802.22,100802.22,,
22.59,100805.95,,22.6,100806.71,100806.71,,
22.59,100805.95,,22.54,100798.48,100798.48,,
22.59,100808.63,,22.54,100790.48,100790.48,,
22.59,100808.63,,22.59,100797.19,100797.19,,
22.53,100791.66,,22.59,100808.63,100808.63,,
22.57,100802.98,,22.54,100800.42,100800.42,,
22.57,100802.98,,22.58,100799.13,100799.13,,
22.6,100806.71,,22.6,100804.8,100804.8,,
22.6,100806.71,,22.54,100797.76,100797.76,,
22.53,100796.23,,22.55,100793.88,100793.88,,
22.53,100796.23,,22.6,100802.13,100802.13,,
22.54,100792.41,,22.53,100799.67,100799.67,,
22.6,100801.37,,22.53,100790.9,100790.9,,
22.6,100801.37,,22.6,100809.38,100809.38,,
22.54,100797.76,,22.6,100796.79,100796.79,,
22.54,100797.76,,22.6,100807.47,100807.47,,
22.53,100798.91,,22.54,100797.76,100797.76,,
22.59,100807.86,,22.57,100802.22,100802.22,,
22.6,100804.8,,22.61,100808.2,100808.2,,
22.6,100804.8,,22.55,100799.21,100799.21,,
22.6,100807.47,,22.54,100792.41,100792.41,,
22.6,100807.47,,22.6,100801.37,100801.37,,
22.53,100788.23,,22.52,100782.16,100782.16,,
22.55,100791.97,,22.57,100794.97,100794.97,,
22.55,100791.97,,22.6,100796.03,100796.03,,
22.6,100804.8,,22.54,100792.41,100792.41,,
22.6,100804.8,,22.55,100801.89,100801.89,,
22.53,100793.57,,22.6,100801.37,100801.37,,
22.53,100793.57,,22.53,100786.31,100786.31,,
22.54,100797.76,,22.54,100792.41,100792.41,,
22.59,100800.61,,22.59,100799.85,100799.85,,
22.59,100800.61,,22.61,100802.86,100802.86,,
22.59,100805.95,,22.6,100802.13,100802.13,,
22.59,100805.95,,22.53,100788.98,100788.98,,
22.53,100799.67,,22.57,100796.88,100796.88,,
22.58,100798.37,,22.6,100799.45,100799.45,,
22.58,100798.37,,22.54,100798.48,100798.48,,
22.6,100810.14,,22.53,100788.98,100788.98,,
22.6,100810.14,,22.59,100797.94,100797.94,,
22.54,100792.41,,22.6,100809.38,100809.38,,
22.54,100792.41,,22.54,100789.75,100789.75,,
22.55,100797.3,,22.56,100796.15,100796.15,,
22.59,100797.94,,22.6,100801.37,100801.37,,
22.59,100797.94,,22.54,100792.41,100792.41,,
22.54,100798.48,,22.55,100799.21,100799.21,,
22.54,100798.48,,22.59,100805.2,100805.2,,
22.53,100799.67,,22.54,100795.09,100795.09,,
22.58,100807.13,,22.53,100791.66,100791.66,,
22.6,100810.14,,22.59,100803.28,100803.28,,
22.6,100810.14,,22.59,100805.95,100805.95,,
22.6,100810.14,,22.6,100806.71,100806.71,,
22.6,100810.14,,22.54,100792.41,100792.41,,
22.52,100795.51,,22.55,100791.2,100791.2,,
22.52,100795.51,,22.6,100809.38,100809.38,,
22.55,100799.21,,22.53,100798.91,100798.91,,
22.6,100804.8,,22.54,100790.48,100790.48,,
22.6,100804.8,,22.58,100804.47,100804.47,,
22.54,100790.48,,22.59,100805.95,100805.95,,
22.54,100790.48,,22.53,100797,100797,,
22.53,100797,,22.58,100799.13,100799.13,,
22.59,100800.61,,22.59,100805.95,100805.95,,
22.59,100800.61,,22.53,100796.23,100796.23,,
22.6,100801.37,,22.56,100796.15,100796.15,,
22.6,100801.37,,22.6,100798.7,100798.7,,
22.53,100790.9,,22.54,100792.41,100792.41,,
22.57,100804.89,,22.53,100783.65,100783.65,,
22.57,100804.89,,22.58,100796.45,100796.45,,
22.6,100810.14,,22.6,100799.45,100799.45,,
22.6,100810.14,,22.53,100790.9,100790.9,,
22.53,100799.67,,22.55,100793.88,100793.88,,
22.53,100799.67,,22.59,100805.95,100805.95,,
22.55,100801.89,,22.52,100798.18,100798.18,,
22.6,100799.45,,22.53,100797,100797,,
22.6,100799.45,,22.58,100796.45,100796.45,,
22.53,100788.98,,22.58,100807.13,100807.13,,
22.53,100788.98,,22.52,100795.51,100795.51,,
22.53,100797,,22.57,100797.64,100797.64,,
22.59,100797.94,,22.59,100797.94,100797.94,,
22.59,100797.94,,22.52,100787.5,100787.5,,
22.62,100813.12,,22.55,100802.64,100802.64,,
22.62,100813.12,,22.6,100806.71,100806.71,,
22.58,100799.13,,22.54,100803.09,100803.09,,
22.58,100799.13,,22.53,100788.23,100788.23,,
22.53,100788.98,,22.59,100805.95,100805.95,,
22.57,100802.98,,22.6,100806.71,100806.71,,
22.57,100802.98,,22.61,100811.63,100811.63,,
22.6,100807.47,,22.54,100789.75,100789.75,,
22.6,100807.47,,22.55,100802.64,100802.64,,
22.53,100799.67,,22.6,100806.71,100806.71,,
22.53,100799.67,,22.54,100792.41,100792.41,,
22.55,100799.21,,22.53,100796.23,100796.23,,
22.6,100807.47,,22.58,100807.13,100807.13,,
22.6,100807.47,,22.59,100805.2,100805.2,,
22.54,100798.48,,22.52,100797.42,100797.42,,
22.54,100798.48,,22.55,100799.97,100799.97,,
22.54,100787.8,,22.59,100797.94,100797.94,,
22.6,100810.14,,22.53,100798.91,100798.91,,
22.6,100810.14,,22.55,100796.55,100796.55,,
22.6,100798.7,,22.59,100799.85,100799.85,,
22.6,100798.7,,22.53,100788.23,100788.23,,
22.53,100791.66,,22.54,100797.76,100797.76,,
22.58,100795.7,,22.59,100797.94,100797.94,,
22.58,100795.7,,22.6,100801.37,100801.37,,
22.61,100802.86,,22.61,100800.95,100800.95,,
22.61,100802.86,,22.54,100792.41,100792.41,,
22.53,100796.23,,22.55,100794.63,100794.63,,
22.53,100796.23,,22.6,100806.71,100806.71,,
22.56,100795.39,,22.54,100806.5,100806.5,,
22.6,100798.7,,22.53,100791.66,100791.66,,
22.54,100792.41,,22.59,100799.85,100799.85,,
22.61,100800.19,,22.59,100802.53,100802.53,,
22.61,100800.19,,22.54,100792.41,100792.41,,
22.53,100798.91,,22.57,100804.89,100804.89,,
22.53,100798.91,,22.59,100800.61,100800.61,,
22.55,100799.21,,22.53,100788.98,100788.98,,
22.59,100805.2,,22.55,100799.21,100799.21,,
22.59,100805.2,,22.6,100804.05,100804.05,,
22.53,100799.67,,22.53,100799.67,100799.67,,
22.53,100799.67,,22.54,100798.48,100798.48,,
22.54,100800.42,,22.58,100799.13,100799.13,,
22.59,100799.85,,22.6,100798.7,100798.7,,
22.59,100799.85,,22.6,100794.12,100794.12,,
22.6,100810.14,,22.54,100792.41,100792.41,,
22.6,100810.14,,22.56,100803.41,100803.41,,
22.53,100797,,22.59,100803.28,100803.28,,
22.57,100799.55,,22.54,100798.48,100798.48,,
22.57,100799.55,,22.54,100797.76,100797.76,,
22.6,100807.47,,22.59,100805.2,100805.2,,
22.6,100807.47,,22.59,100797.94,100797.94,,
22.53,100791.66,,22.54,100789.75,100789.75,,
22.53,100791.66,,22.58,100796.45,100796.45,,
22.54,100797.76,,22.6,100807.47,100807.47,,
22.59,100805.2,,22.52,100798.18,100798.18,,
22.59,100805.2,,22.56,100800.73,100800.73,,
22.6,100801.37,,22.6,100798.7,100798.7,,
22.6,100801.37,,22.53,100797,100797,,
22.53,100798.91,,22.53,100798.91,100798.91,,
22.58,100807.13,,22.59,100808.63,100808.63,,
22.58,100807.13,,22.6,100806.71,100806.71,,
22.62,100799.77,,22.61,100802.86,100802.86,,
22.62,100799.77,,22.53,100798.91,100798.91,,
22.6,100794.12,,22.55,100801.89,100801.89,,
22.6,100794.12,,22.59,100808.63,100808.63,,
22.54,100797.76,,22.53,100802.34,100802.34,,
22.57,100794.97,,22.53,100799.67,100799.67,,
22.57,100794.97,,22.57,100800.31,100800.31,,
22.6,100810.14,,22.59,100800.61,100800.61,,
22.6,100810.14,,22.52,100787.5,100787.5,,
22.54,100800.42,,22.56,100803.41,100803.41,,
22.54,100800.42,,22.59,100813.96,100813.96,,
22.54,100793.14,,22.53,100797,100797,,
22.6,100812.81,,22.54,100790.48,100790.48,,
22.6,100812.81,,22.61,100810.88,100810.88,,
22.6,100802.13,,22.54,100803.83,100803.83,,
22.6,100802.13,,22.53,100801.58,100801.58,,
22.53,100798.91,,22.59,100797.19,100797.19,,
22.57,100797.64,,22.62,100804.34,100804.34,,
22.57,100797.64,,22.6,100798.7,100798.7,,
22.6,100802.13,,22.54,100789.75,100789.75,,
22.6,100802.13,,22.56,100800.73,100800.73,,
22.53,100799.67,,22.6,100806.71,100806.71,,
22.53,100799.67,,22.54,100797.76,100797.76,,
22.56,100800.73,,22.54,100792.41,100792.41,,
22.6,100802.13,,22.59,100807.86,100807.86,,
22.6,100802.13,,22.59,100808.63,100808.63,,
22.55,100793.88,,22.52,100795.51,100795.51,,
22.55,100793.88,,22.57,100802.98,100802.98,,
22.54,100797.76,,22.6,100809.38,100809.38,,
22.59,100807.86,,22.53,100799.67,100799.67,,
22.61,100800.19,,22.55,100799.97,100799.97,,
22.61,100800.19,,22.6,100802.13,100802.13,,
22.62,100812.36,,22.55,100804.55,100804.55,,
22.62,100812.36,,22.54,100792.41,100792.41,,
22.54,100798.48,,22.59,100805.2,100805.2,,
22.56,100798.06,,22.6,100809.38,100809.38,,
22.56,100798.06,,22.6,100812.05,100812.05,,
22.61,100802.86,,22.53,100798.91,100798.91,,
22.61,100802.86,,22.55,100799.21,100799.21,,
22.54,100795.09,,22.6,100806.71,100806.71,,
22.54,100795.09,,22.54,100801.16,100801.16,,
22.53,100802.34,,22.53,100802.34,100802.34,,
22.6,100801.37,,22.58,100801.8,100801.8,,
22.6,100801.37,,22.59,100811.3,100811.3,,
22.6,100798.7,,22.53,100802.34,100802.34,,
22.6,100798.7,,22.57,100805.64,100805.64,,
22.54,100800.42,,22.6,100812.05,100812.05,,
22.57,100791.53,,22.53,100797,100797,,
22.57,100791.53,,22.55,100802.64,100802.64,,
22.61,100805.53,,22.59,100808.63,100808.63,,
22.61,100805.53,,22.53,100802.34,100802.34,,
22.53,100797,,22.54,100800.42,100800.42,,
22.53,100797,,22.59,100805.95,100805.95,,
22.55,100799.97,,22.6,100802.13,100802.13,,
22.6,100810.14,,22.61,100810.88,100810.88,,
22.6,100810.14,,22.54,100801.16,100801.16,,
22.55,100801.89,,22.56,100806.07,100806.07,,
22.55,100801.89,,22.6,100807.47,100807.47,,
22.54,100792.41,,22.54,100797.76,100797.76,,
22.59,100800.61,,22.53,100798.91,100798.91,,
22.6,100799.45,,22.59,100805.2,100805.2,,
22.6,100799.45,,22.59,100805.95,100805.95,,
22.61,100814.3,,22.53,100799.67,100799.67,,
22.61,100814.3,,22.57,100808.32,100808.32,,
22.54,100792.41,,22.6,100810.14,100810.14,,
22.57,100796.88,,22.53,100802.34,100802.34,,
22.57,100796.88,,22.54,100801.16,100801.16,,
22.6,100804.8,,22.6,100806.71,100806.71,,
22.6,100804.8,,22.54,100800.42,100800.42,,
22.54,100793.14,,22.53,100799.67,100799.67,,
22.54,100793.14,,22.59,100805.2,100805.2,,
22.54,100787.08,,22.6,100810.14,100810.14,,
22.59,100805.95,,22.54,100800.42,100800.42,,
22.59,100805.95,,22.56,100798.82,100798.82,,
22.59,100799.85,,22.6,100807.47,100807.47,,
22.59,100799.85,,22.53,100802.34,100802.34,,
22.53,100788.98,,22.54,100797.76,100797.76,,
22.57,100789.63,,22.58,100807.13,100807.13,,
22.57,100789.63,,22.59,100807.86,100807.86,,
22.6,100802.13,,22.52,100787.5,100787.5,,
22.6,100802.13,,22.58,100803.7,100803.7,,
22.53,100791.66,,22.59,100803.28,100803.28,,
22.53,100791.66,,22.53,100797,100797,,
22.56,100790.05,,22.54,100793.14,100793.14,,
22.6,100802.13,,22.59,100808.63,100808.63,,
22.6,100802.13,,22.53,100799.67,100799.67,,
22.54,100790.48,,22.53,100797,100797,,
22.54,100790.48,,22.59,100797.19,100797.19,,
22.53,100797,,22.6,100802.13,100802.13,,
22.59,100797.94,,22.61,100803.62,100803.62,,
22.6,100798.7,,22.53,100791.66,100791.66,,
22.6,100798.7,,22.55,100794.63,100794.63,,
22.62,100809.69,,22.6,100802.13,100802.13,,
22.62,100809.69,,22.53,100791.66,100791.66,,
22.54,100793.14,,22.53,100798.91,100798.91,,
22.56,100795.39,,22.58,100804.47,100804.47,,
22.56,100795.39,,22.59,100808.63,100808.63,,
22.6,100809.38,,22.52,100790.17,100790.17,,
22.6,100809.38,,22.57,100804.89,100804.89,,
22.54,100792.41,,22.6,100807.47,100807.47,,
22.54,100792.41,,22.53,100798.91,100798.91,,
22.53,100791.66,,22.54,100789.75,100789.75,,
22.59,100805.95,,22.6,100798.7,100798.7,,
22.59,100805.95,,22.54,100792.41,100792.41,,
22.59,100808.63,,22.53,100797,100797,,
22.59,100808.63,,22.59,100807.86,100807.86,,
22.53,100791.66,,22.59,100800.61,100800.61,,
22.58,100809.05,,22.6,100810.14,100810.14,,
22.58,100809.05,,22.54,100801.16,100801.16,,
22.61,100800.19,,22.55,100799.21,100799.21,,
22.61,100800.19,,22.6,100809.38,100809.38,,
22.53,100799.67,,22.52,100787.5,100787.5,,
22.53,100799.67,,22.53,100802.34,100802.34,,
22.55,100791.2,,22.58,100807.13,100807.13,,
22.61,100808.2,,22.59,100805.2,100805.2,,
22.61,100808.2,,22.52,100795.51,100795.51,,
22.54,100806.5,,22.57,100805.64,100805.64,,
22.54,100806.5,,22.59,100805.95,100805.95,,
22.54,100800.42,,22.53,100791.66,100791.66,,
22.59,100797.19,,22.54,100801.16,100801.16,,
22.6,100801.37,,22.59,100799.85,100799.85,,
22.6,100801.37,,22.53,100791.66,100791.66,,
22.61,100813.54,,22.53,100796.23,100796.23,,
22.61,100813.54,,22.58,100798.37,100798.37,,
22.53,100794.33,,22.6,100807.47,100807.47,,
22.56,100804.16,,22.52,100792.84,100792.84,,
22.56,100804.16,,22.56,100800.73,100800.73,,
22.61,100808.96,,22.59,100805.2,100805.2,,
22.61,100808.96,,22.53,100793.57,100793.57,,
22.54,100797.76,,22.54,100801.16,100801.16,,
22.54,100797.76,,22.59,100800.61,100800.61,,
22.53,100799.67,,22.59,100797.94,100797.94,,
22.59,100808.63,,22.53,100796.23,100796.23,,
22.59,100808.63,,22.58,100798.37,100798.37,,
22.6,100801.37,,22.59,100795.27,100795.27,,
22.6,100801.37,,22.53,100802.34,100802.34,,
22.53,100802.34,,22.55,100799.97,100799.97,,
22.57,100797.64,,22.59,100797.94,100797.94,,
22.57,100797.64,,22.53,100797,100797,,
22.6,100810.14,,22.53,100799.67,100799.67,,
22.6,100810.14,,22.59,100805.95,100805.95,,
22.53,100798.91,,22.6,100801.37,100801.37,,
22.53,100798.91,,22.6,100807.47,100807.47,,
22.54,100793.14,,22.53,100788.98,100788.98,,
22.6,100806.71,,22.55,100801.89,100801.89,,
22.6,100806.71,,22.6,100806.71,100806.71,,
22.54,100797.76,,22.54,100797.76,100797.76,,
22.54,100797.76,,22.54,100801.16,100801.16,,
22.54,100795.09,,22.59,100805.95,100805.95,,
22.59,100797.19,,22.53,100797,100797,,
22.6,100809.38,,22.57,100810.23,100810.23,,
22.6,100809.38,,22.59,100811.3,100811.3,,
22.61,100808.2,,22.53,100791.66,100791.66,,
22.61,100808.2,,22.54,100800.42,100800.42,,
22.53,100797,,22.59,100808.63,100808.63,,
22.55,100799.97,,22.54,100803.83,100803.83,,
22.55,100799.97,,22.54,100797.76,100797.76,,
22.6,100812.81,,22.59,100807.86,100807.86,,
22.6,100812.81,,22.62,100804.34,100804.34,,
22.53,100798.91,,22.6,100810.14,100810.14,,
22.53,100798.91,,22.53,100790.9,100790.9,,
22.55,100799.21,,22.55,100802.64,100802.64,,
22.59,100807.86,,22.59,100805.95,100805.95,,
22.59,100807.86,,22.54,100792.41,100792.41,,
22.6,100806.71,,22.53,100791.66,100791.66,,
22.6,100806.71,,22.59,100805.2,100805.2,,
22.53,100793.57,,22.59,100805.95,100805.95,,
22.58,100801.04,,22.54,100797.76,100797.76,,
22.58,100801.04,,22.58,100798.37,100798.37,,
22.59,100808.63,,22.6,100802.13,100802.13,,
22.59,100808.63,,22.53,100791.66,100791.66,,
22.53,100799.67,,22.55,100791.2,100791.2,,
22.53,100799.67,,22.59,100795.27,100795.27,,
22.55,100799.21,,22.53,100799.67,100799.67,,
22.6,100801.37,,22.54,100797.76,100797.76,,
22.6,100801.37,,22.6,100798.7,100798.7,,
22.53,100802.34,,22.6,100796.03,100796.03,,
22.53,100802.34,,22.61,100811.63,100811.63,,
22.53,100797,,22.54,100797.76,100797.76,,
22.58,100807.13,,22.56,100792.72,100792.72,,
22.59,100799.85,,22.6,100796.79,100796.79,,
22.59,100799.85,,22.54,100789.75,100789.75,,
22.6,100807.47,,22.53,100797,100797,,
22.6,100807.47,,22.59,100805.2,100805.2,,
22.53,100788.98,,22.6,100806.71,100806.71,,
22.55,100799.97,,22.53,100794.33,100794.33,,
22.55,100799.97,,22.58,100801.04,100801.04,,
22.6,100801.37,,22.6,100799.45,100799.45,,
22.6,100801.37,,22.54,100792.41,100792.41,,
22.54,100792.41,,22.55,100801.89,100801.89,,
22.54,100792.41,,22.6,100806.71,100806.71,,
22.54,100801.16,,22.53,100797,100797,,
22.59,100800.61,,22.53,100788.98,100788.98,,
22.59,100800.61,,22.59,100792.6,100792.6,,
22.59,100803.28,,22.6,100806.71,100806.71,,
22.59,100803.28,,22.6,100801.37,100801.37,,
22.53,100791.66,,22.53,100797,100797,,
22.57,100805.64,,22.55,100799.97,100799.97,,
22.57,100805.64,,22.59,100800.61,100800.61,,
22.6,100801.37,,22.53,100798.91,100798.91,,
22.6,100801.37,,22.53,100796.23,100796.23,,
22.53,100796.23,,22.59,100808.63,100808.63,,
22.53,100796.23,,22.59,100811.3,100811.3,,
22.55,100799.97,,22.52,100803.52,100803.52,,
22.59,100808.63,,22.57,100805.64,100805.64,,
22.59,100808.63,,22.6,100806.71,100806.71,,
22.54,100798.48,,22.53,100797,100797,,
22.54,100798.48,,22.55,100799.97,100799.97,,
22.53,100799.67,,22.61,100800.19,100800.19,,
22.58,100799.13,,22.54,100801.16,100801.16,,
22.58,100799.13,,22.54,100787.8,100787.8,,
22.62,100804.34,,22.59,100805.2,100805.2,,
22.62,100804.34,,22.6,100798.7,100798.7,,
22.59,100805.2,,22.59,100797.19,100797.19,,
22.59,100805.2,,22.51,100785.98,100785.98,,
22.54,100792.41,,22.53,100797,100797,,
22.57,100808.32,,22.58,100806.38,100806.38,,
22.57,100808.32,,22.51,100793.99,100793.99,,
22.6,100807.47,,22.51,100793.23,100793.23,,
22.6,100807.47,,22.56,100800.73,100800.73,,
22.53,100794.33,,22.56,100801.48,100801.48,,
22.56,100795.39,,22.52,100797.42,100797.42,,
22.56,100795.39,,22.54,100798.48,100798.48,,
22.6,100804.8,,22.58,100807.13,100807.13,,
22.6,100804.8,,22.5,100795.2,100795.2,,
22.54,100793.14,,22.52,100803.52,100803.52,,
22.54,100793.14,,22.57,100805.64,100805.64,,
22.53,100807.68,,22.51,100793.99,100793.99,,
22.59,100805.2,,22.52,100797.42,100797.42,,
22.59,100805.2,,22.57,100804.89,100804.89,,
22.6,100804.05,,22.58,100798.37,100798.37,,
22.6,100804.05,,22.59,100811.3,100811.3,,
22.53,100797,,22.52,100797.42,100797.42,,
22.57,100794.97,,22.54,100800.42,100800.42,,
22.57,100794.97,,22.58,100807.13,100807.13,,
22.6,100809.38,,22.51,100793.99,100793.99,,
22.6,100809.38,,22.52,100800.84,100800.84,,
22.53,100791.66,,22.58,100809.05,100809.05,,
22.53,100791.66,,22.59,100807.86,100807.86,,
22.55,100801.89,,22.52,100798.18,100798.18,,
22.6,100809.38,,22.56,100808.74,100808.74,,
22.54,100789.75,,22.58,100799.13,100799.13,,
22.61,100802.86,,22.52,100800.09,100800.09,,
22.61,100802.86,,22.54,100803.09,100803.09,,
22.54,100793.14,,22.59,100810.53,100810.53,,
22.54,100793.14,,22.53,100798.91,100798.91,,
22.54,100797.76,,22.53,100801.58,100801.58,,
22.6,100801.37,,22.58,100807.13,100807.13,,
22.6,100801.37,,22.58,100793.78,100793.78,,
22.6,100799.45,,22.6,100810.14,100810.14,,
22.6,100799.45,,22.53,100790.9,100790.9,,
22.54,100789.75,,22.54,100798.48,100798.48,,
22.58,100801.04,,22.59,100810.53,100810.53,,
22.58,100801.04,,22.53,100798.91,100798.91,,
22.6,100810.14,,22.52,100798.18,100798.18,,
22.6,100810.14,,22.58,100804.47,100804.47,,
22.54,100790.48,,22.58,100807.13,100807.13,,
22.54,100790.48,,22.52,100797.42,100797.42,,
22.55,100799.97,,22.57,100802.98,100802.98,,
22.6,100804.05,,22.59,100800.61,100800.61,,
22.6,100804.05,,22.52,100798.18,100798.18,,
22.54,100793.14,,22.55,100801.89,100801.89,,
22.54,100793.14,,22.59,100807.86,100807.86,,
22.54,100801.16,,22.53,100796.23,100796.23,,
22.58,100804.47,,22.53,100804.25,100804.25,,
22.58,100804.47,,22.59,100807.86,100807.86,,
22.6,100798.7,,22.59,100800.61,100800.61,,
22.6,100798.7,,22.6,100806.71,100806.71,,
22.54,100787.8,,22.53,100799.67,100799.67,,
22.57,100807.56,,22.54,100801.16,100801.16,,
22.57,100807.56,,22.6,100812.05,100812.05,,
22.62,100805.11,,22.53,100799.67,100799.67,,
22.62,100805.11,,22.53,100797,100797,,
22.6,100807.47,,22.57,100794.97,100794.97,,
22.6,100807.47,,22.59,100808.63,100808.63,,
22.53,100788.98,,22.53,100804.25,100804.25,,
22.53,100788.98,,22.56,100795.39,100795.39,,
22.55,100801.89,,22.59,100805.95,100805.95,,
22.6,100799.45,,22.53,100799.67,100799.67,,
22.6,100799.45,,22.56,100806.07,100806.07,,
22.54,100793.14,,22.59,100799.85,100799.85,,
22.54,100793.14,,22.53,100799.67,100799.67,,
22.54,100790.48,,22.53,100801.58,100801.58,,
22.59,100805.95,,22.58,100801.8,100801.8,,
22.59,100805.95,,22.59,100797.94,100797.94,,
22.6,100802.13,,22.61,100800.19,100800.19,,
22.6,100802.13,,22.53,100799.67,100799.67,,
22.54,100795.81,,22.56,100795.39,100795.39,,
22.57,100792.3,,22.61,100808.2,100808.2,,
22.57,100792.3,,22.54,100798.48,100798.48,,
22.61,100802.86,,22.53,100791.66,100791.66,,
22.61,100802.86,,22.6,100810.14,100810.14,,
22.54,100798.48,,22.58,100799.13,100799.13,,
22.54,100798.48,,22.53,100802.34,100802.34,,
22.55,100789.3,,22.57,100802.22,100802.22,,
22.6,100802.13,,22.59,100813.2,100813.2,,
22.6,100802.13,,22.53,100788.98,100788.98,,
22.55,100785.86,,22.55,100805.31,100805.31,,
22.55,100785.86,,22.59,100800.61,100800.61,,
22.53,100797,,22.53,100793.57,100793.57,,
22.58,100804.47,,22.54,100797.76,100797.76,,
22.61,100808.96,,22.59,100808.63,100808.63,,
22.61,100808.96,,22.6,100798.7,100798.7,,
22.61,100808.96,,22.61,100808.2,100808.2,,
22.61,100808.96,,22.53,100797,100797,,
22.53,100791.66,,22.55,100799.97,100799.97,,
22.56,100792.72,,22.6,100806.71,100806.71,,
22.56,100792.72,,22.54,100797.76,100797.76,,
22.61,100800.19,,22.54,100792.41,100792.41,,
22.61,100800.19,,22.58,100799.13,100799.13,,
22.54,100790.48,,22.6,100798.7,100798.7,,
22.54,100790.48,,22.53,100799.67,100799.67,,
22.54,100798.48,,22.58,100798.37,100798.37,,
22.59,100800.61,,22.59,100807.86,100807.86,,
22.59,100800.61,,22.53,100797,100797,,
22.59,100800.61,,22.56,100803.41,100803.41,,
22.59,100800.61,,22.61,100800.19,100800.19,,
22.53,100798.91,,22.53,100797,100797,,
22.58,100803.7,,22.54,100797.76,100797.76,,
22.58,100803.7,,22.59,100805.2,100805.2,,
22.6,100810.14,,22.61,100803.62,100803.62,,
22.6,100810.14,,22.6,100804.05,100804.05,,
22.54,100798.48,,22.53,100799.67,100799.67,,
22.54,100798.48,,22.55,100801.89,100801.89,,
22.55,100797.3,,22.59,100811.3,100811.3,,
22.61,100810.88,,22.54,100793.14,100793.14,,
22.61,100810.88,,22.53,100791.66,100791.66,,
22.54,100792.41,,22.59,100799.85,100799.85,,
22.54,100792.41,,22.59,100803.28,100803.28,,
22.53,100788.98,,22.54,100800.42,100800.42,,
22.59,100797.19,,22.58,100803.7,100803.7,,
22.61,100806.29,,22.6,100810.14,100810.14,,
22.61,100806.29,,22.53,100794.33,100794.33,,
22.6,100810.14,,22.55,100799.21,100799.21,,
22.6,100810.14,,22.59,100797.94,100797.94,,
22.54,100790.48,,22.54,100792.41,100792.41,,
22.54,100790.48,,22.53,100797,100797,,
22.56,100795.39,,22.59,100805.95,100805.95,,
22.6,100798.7,,22.6,100809.38,100809.38,,
22.6,100798.7,,22.61,100808.2,100808.2,,
22.53,100797,,22.54,100800.42,100800.42,,
22.53,100797,,22.56,100803.41,100803.41,,
22.53,100791.66,,22.6,100810.14,100810.14,,
22.59,100805.95,,22.53,100796.23,100796.23,,
22.59,100805.95,,22.54,100801.16,100801.16,,
22.6,100806.71,,22.59,100808.63,100808.63,,
22.6,100806.71,,22.59,100805.95,100805.95,,
22.53,100788.98,,22.53,100796.23,100796.23,,
22.57,100796.88,,22.57,100802.22,100802.22,,
22.57,100796.88,,22.59,100800.61,100800.61,,
22.59,100800.61,,22.53,100802.34,100802.34,,
22.59,100800.61,,22.54,100798.48,100798.48,,
22.54,100797.76,,22.6,100809.38,100809.38,,
22.54,100797.76,,22.53,100791.66,100791.66,,
22.55,100801.89,,22.54,100793.14,100793.14,,
22.6,100806.71,,22.59,100797.94,100797.94,,
