BMP280,,,,,,,
"Year,Month,Day,Hour,Minute,Second",,,,,,,
Start,"2018,2,15,14,28,34",,,,,,
End,"2018,2,15,14,29,5,",,"(Note: Total 10,000 samples, first 681 records removed, due to presence of NANs)",,,,
Samples,9319,,Average,100801.6917,,StDev,5.84782364
No doubles,5506,,Average,100801.124,,StDev,5.85046483
,,,,,,StDev Mean,0.07884465722
,,,,,,,
,,,,,,,
T (°C),P (Pa),,T (°C),P (Pa),,,
22.58,100812.48,,22.57,100797.64,100797.64,,
22.58,100812.48,,22.59,100805.95,100805.95,,
22.53,100799.67,,22.53,100797,100797,,
22.53,100799.67,,22.55,100805.31,100805.31,,
22.53,100798.91,,22.59,100808.63,100808.63,,
22.57,100805.64,,22.54,100787.08,100787.08,,
22.59,100800.61,,22.53,100788.23,100788.23,,
22.59,100800.61,,22.59,100805.95,100805.95,,
22.6,100802.13,,22.6,100809.38,100809.38,,
22.6,100802.13,,22.53,100798.91,100798.91,,
22.53,100802.34,,22.56,100800.73,100800.73,,
22.53,100802.34,,22.62,100809.69,100809.69,,
22.53,100799.67,,22.59,100808.63,100808.63,,
22.6,100798.7,,22.52,100798.18,100798.18,,
22.6,100798.7,,22.53,100791.66,100791.66,,
22.54,100800.42,,22.58,100809.8,100809.8,,
22.54,100800.42,,22.52,100800.84,100800.84,,
22.52,100798.18,,22.51,100796.66,100796.66,,
22.58,100807.13,,22.57,100802.22,100802.22,,
22.58,100807.13,,22.57,100805.64,100805.64,,
22.59,100810.53,,22.51,100793.99,100793.99,,
22.59,100810.53,,22.55,100802.64,100802.64,,
22.53,100796.23,,22.58,100803.7,100803.7,,
22.55,100802.64,,22.52,100789.41,100789.41,,
22.55,100802.64,,22.54,100797.76,100797.76,,
22.58,100807.13,,22.58,100801.04,100801.04,,
22.58,100807.13,,22.52,100795.51,100795.51,,
22.52,100803.52,,22.52,100790.17,100790.17,,
22.52,100803.52,,22.57,100805.64,100805.64,,
22.54,100792.41,,22.58,100801.8,100801.8,,
22.59,100808.63,,22.59,100808.63,100808.63,,
22.59,100808.63,,22.52,100803.52,100803.52,,
22.53,100801.58,,22.54,100795.81,100795.81,,
22.53,100801.58,,22.58,100806.38,100806.38,,
22.53,100797,,22.53,100796.23,100796.23,,
22.58,100806.38,,22.52,100798.18,100798.18,,
22.58,100806.38,,22.57,100797.64,100797.64,,
22.61,100805.53,,22.58,100807.13,100807.13,,
22.61,100805.53,,22.52,100794.75,100794.75,,
22.58,100807.13,,22.55,100802.64,100802.64,,
22.58,100807.13,,22.59,100807.86,100807.86,,
22.52,100795.51,,22.53,100801.58,100801.58,,
22.57,100804.89,,22.53,100799.67,100799.67,,
22.57,100804.89,,22.58,100804.47,100804.47,,
22.59,100808.63,,22.53,100798.91,100798.91,,
22.59,100808.63,,22.52,100795.51,100795.51,,
22.52,100795.51,,22.57,100805.64,100805.64,,
22.52,100795.51,,22.59,100805.2,100805.2,,
22.54,100801.16,,22.6,100806.71,100806.71,,
22.59,100803.28,,22.52,100790.17,100790.17,,
22.59,100803.28,,22.55,100804.55,100804.55,,
22.53,100797,,22.59,100800.61,100800.61,,
22.53,100797,,22.53,100798.91,100798.91,,
22.53,100799.67,,22.53,100802.34,100802.34,,
22.59,100797.19,,22.59,100805.2,100805.2,,
22.59,100797.19,,22.59,100805.95,100805.95,,
22.59,100805.95,,22.52,100800.84,100800.84,,
22.59,100805.95,,22.56,100811.41,100811.41,,
22.53,100798.91,,22.59,100805.95,100805.95,,
22.55,100802.64,,22.53,100799.67,100799.67,,
22.55,100802.64,,22.54,100793.14,100793.14,,
22.6,100801.37,,22.6,100801.37,100801.37,,
22.6,100801.37,,22.53,100799.67,100799.67,,
22.52,100798.18,,22.53,100797,100797,,
22.52,100798.18,,22.58,100807.13,100807.13,,
22.54,100803.09,,22.6,100809.38,100809.38,,
22.58,100804.47,,22.6,100812.81,100812.81,,
22.53,100790.9,,22.53,100796.23,100796.23,,
22.6,100809.38,,22.55,100799.21,100799.21,,
22.6,100809.38,,22.59,100807.86,100807.86,,
22.53,100786.31,,22.53,100791.66,100791.66,,
22.53,100786.31,,22.52,100795.51,100795.51,,
22.53,100797,,22.58,100809.8,100809.8,,
22.59,100805.2,,22.59,100802.53,100802.53,,
22.59,100805.2,,22.52,100798.18,100798.18,,
22.58,100793.78,,22.57,100794.97,100794.97,,
22.58,100793.78,,22.59,100805.95,100805.95,,
22.52,100795.51,,22.53,100788.98,100788.98,,
22.57,100797.64,,22.55,100801.89,100801.89,,
22.57,100797.64,,22.59,100807.86,100807.86,,
22.59,100805.95,,22.53,100799.67,100799.67,,
22.59,100805.95,,22.53,100802.34,100802.34,,
22.53,100797,,22.58,100807.13,100807.13,,
22.55,100805.31,,22.58,100804.47,100804.47,,
22.55,100805.31,,22.6,100814.73,100814.73,,
22.59,100808.63,,22.53,100796.23,100796.23,,
22.59,100808.63,,22.54,100798.48,100798.48,,
22.54,100787.08,,22.59,100810.53,100810.53,,
